time,temp,snr,rssi
7068,18,7,-54
7073,18,6,-53
7079,18,6,-53
7084,18,7,-54
7089,18,6,-53
7095,18,7,-54
7100,18,7,-53
7106,18,6,-53
7111,18,6,-53
7116,18,6,-53
7122,18,6,-54
7127,18,7,-54
7133,18,6,-53
7138,18,6,-54
7143,18,6,-53
7149,18,7,-54
7154,18,7,-53
7160,18,6,-53
7165,18,6,-54
7170,18,7,-54
7176,18,6,-53
7181,18,6,-53
7187,18,6,-54
7192,18,7,-54
7197,18,6,-54
7203,18,6,-53
7208,18,6,-53
7214,18,6,-53
7219,19,7,-52
7224,19,7,-53
7230,19,7,-52
7235,19,7,-53
7241,19,6,-52
7246,19,6,-53
7251,19,7,-53
7257,19,7,-53
7262,19,6,-53
7268,19,6,-53
7273,19,7,-53
7278,19,7,-52
7284,19,5,-53
7289,19,6,-52
7295,19,6,-51
7300,19,6,-53
7305,19,7,-53
7311,19,6,-53
7316,19,6,-53
7322,19,6,-52
7327,19,6,-53
7332,19,7,-53
7338,19,6,-52
7343,19,6,-53
7349,19,6,-53
7354,19,6,-52
7360,19,6,-52
7365,19,7,-53
7370,19,6,-53
7376,19,6,-53
7381,19,6,-53
7387,19,6,-53
7392,19,7,-53
7397,19,6,-53
7403,19,7,-53
7408,19,6,-53
7414,19,6,-53
7419,19,7,-52
7424,19,6,-53
7430,19,7,-53
7435,19,7,-53
7441,19,6,-53
7446,19,7,-53
7451,19,7,-52
7457,19,6,-53
7462,19,6,-52
7468,19,7,-53
7473,19,6,-53
7478,19,6,-53
7484,19,6,-53
7489,19,6,-53
7495,19,6,-52
7500,19,6,-53
7505,19,6,-53
7511,19,6,-52
7516,19,6,-52
7522,19,6,-53
7527,19,6,-52
7532,19,6,-53
7538,19,7,-53
7543,19,7,-53
7549,19,6,-52
7554,19,6,-53
7559,19,7,-53
7565,19,6,-53
7570,19,6,-53
7576,19,6,-53
7581,19,6,-52
7586,19,7,-53
7592,19,7,-53
7597,19,6,-53
7603,19,7,-53
7608,19,7,-52
7613,19,6,-53
7619,19,6,-53
7624,19,7,-52
7630,19,6,-52
7635,19,6,-52
7640,19,6,-52
7646,19,6,-53
7651,19,6,-53
7657,19,6,-53
7662,19,6,-53
7667,19,6,-53
7673,19,6,-53
7678,19,6,-52
7684,19,6,-53
7689,19,7,-53
7694,19,7,-53
7700,19,7,-52
7705,19,6,-52
7711,19,6,-53
7716,19,6,-52
7721,19,6,-53
7727,19,6,-53
7732,19,6,-53
7738,19,6,-53
7743,19,6,-53
7748,19,7,-52
7754,19,6,-52
